employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
SHAH ASSOCIATES,"Shah & Associates, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,MD,Gaithersburg,125000.0,125000.0,125000.0
SHIMMICK CONSTRUCTION COMPANY,"Shimmick Construction Company, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,WA,Seattle,146000.0,146000.0,146000.0
SIEMENS INDUSTRY,"Siemens Industry, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,NY,Syracuse,84739.0,84739.0,84739.0
SKC,"SKC, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,PA,Eighty Four,76357.0,76357.0,76357.0
SKT AMERICA,"SKT America, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,GA,Commerce,90000.0,90000.0,90000.0
SKYLAND GROUP,SKYLAND GROUP INC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,MISSOURI CITY,83200.0,83200.0,83200.0
SONNEN,"Sonnen, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,GA,Stone Mountain,90000.0,90000.0,90000.0
SOUTHERN METHODIST UNIVERSITY,SOUTHERN METHODIST UNIVERSITY,1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Dallas,65000.0,65000.0,65000.0
SPACEPALM INCORPORATED,SpacePalm Incorporated,1,1,FY2026Q1,no,17-2071,Electrical Engineers,PA,Bristol,86320.0,86320.0,86320.0
STEWART STEVENSON,"Stewart & Stevenson, LLC",1,1,FY2026Q1,no,17-2071,Electrical Engineers,TX,Houston,84552.0,84552.0,84552.0
STV INCORPORATED,STV Incorporated,1,1,FY2026Q1,no,17-2071,Electrical Engineers,NY,New York,84490.0,84490.0,84490.0
TAAL TECHNOLOGIES,TAAL TECHNOLOGIES INC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,IN,Clayton,84312.0,84312.0,84312.0
TAIHAN ELECTRIC USA,"Taihan Electric USA, Ltd.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,CA,Santa Fe Springs,85613.0,85613.0,85613.0
TEC GROUP,"TEC Group, Inc.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,MI,Auburn Hills,104416.0,104416.0,104416.0
TEK LABS,"Tek Labs, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,NC,Clayton,75670.0,75670.0,75670.0
TELECOM TECHNOLOGY SERVICES,"Telecom Technology Services, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,CO,Denver,99466.0,99466.0,99466.0
THE FEINSTEIN INSTITUTES FOR MEDICAL RESEARCH,THE FEINSTEIN INSTITUTES FOR MEDICAL RESEARCH,1,1,FY2026Q1,no,17-2071,Electrical Engineers,NY,MANHASSET,95868.0,95868.0,95868.0
THE FLORIDA STATE UNIVERSITY,The Florida State University,1,1,FY2026Q1,no,17-2071,Electrical Engineers,FL,Tallahassee,80000.0,80000.0,80000.0
THE UNIVERSITY OF TEXAS AT AUSTIN,The University of Texas at Austin,1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Austin,61008.0,61008.0,61008.0
TRANE TECHNOLOGIES COMPANY,Trane Technologies Company LLC,1,1,FY2025Q4,no,17-2071,Electrical Engineers,WI,Onalaska,80475.0,80475.0,80475.0
TRC SOLUTIONS,"TRC Solutions, Inc.",1,1,FY2026Q1,no,17-2071,Electrical Engineers,NC,Charlotte,85000.0,85000.0,85000.0
TREW,"Trew, LLC.",1,1,FY2025Q4,no,17-2071,Electrical Engineers,TX,Richardson,105000.0,105000.0,105000.0
TRIAD NATIONAL SECURITY,"TRIAD NATIONAL SECURITY, LLC",1,1,FY2026Q1,no,17-2071,Electrical Engineers,NM,Los Alamos,101405.0,101405.0,101405.0
